Type,Detail,Line Number,Weight
Import ... from ...,From pynput import keyboard,2,5
Import,logging,3,5
Import,os,4,10
Import,socket,5,50
Import ... from ...,From base64 import b64encode,8,5
Import,time,9,5
Function call,os.remove,16,5
Function call,logging.basicConfig,18,5
Named function as argument,logging.DEBUG,18,5
Function call,os.system,22,10
Function call,logging.info,23,5
Function call,logging.info,25,5
Function call,logging.info,30,5
Direct function call,str,30,5
Function call,logging.info,32,5
Direct function call,print,37,5
Function call,logging.info,38,5
Function call,listener.stop,39,5
Function call,keyboard.Listener,43,5
Named function as argument,on_press,43,100
Named function as argument,on_release,43,100
Function call,listener.join,48,5
Direct function call,print,50,5
Function call,logging.shutdown,52,5
Function call,AES.new,58,5
Function as argument,AES.MODE_CBC,58,5
Function call,socket.socket,68,15
Function as argument,socket.AF_INET,68,5
Function as argument,socket.SOCK_STREAM,68,5
Function call,client.connect,69,5
Direct function call,open,72,25
Function call,s.read,73,5
Function call,cipher.encrypt,76,5
Direct function call,pad,76,5
Function as argument,AES.block_size,76,5
Direct function call,b64encode,77,5
Function as argument,cipher.iv,77,5
Direct function call,b64encode,78,5
Function call,client.send,81,5
Function call,client.send,82,5
Function call,client.send,83,5
Function call,client.send,84,5
Function call,client.send,85,5
Function call,client.close,86,5
Function call,os.remove,88,5
Direct function call,print,92,5
Function call,time.sleep,93,5
Direct function call,print,94,5
Function call,time.sleep,95,5
Direct function call,print,96,5
Function call,time.sleep,97,5
